Type,BROTEC,ARTTRID,Fire,Topo,D_BOUND,D_ROADS,Topo2,D_BOUND.s,D_ROADS.s,ARTTRID.PA,ARTTRID.mid,BROTEC.PA,BROTEC.mid
Train,3,0,1,-0.0338,350.7740779,120.7128204,0.00114244,0.350774078,1.207128204,1,0,0,0.375
Train,1,0,1,0.0538,122.6661829,340.332173,0.00289444,0.122666183,3.40332173,1,0,0,0.025
Train,2,0,1,-0.0717,531.6191487,204.977572,0.00514089,0.531619149,2.04977572,1,0,0,0.15
Train,2,0,1,0.2845,27.97504555,1130.999962,0.08094025,0.027975046,11.30999962,1,0,0,0.15
Train,1,1,1,-0.0622,717.9905221,400.7951111,0.00386884,0.717990522,4.007951111,0,0.025,0,0.025
Train,3,0,1,0.0024,154.5961932,678.9009364,5.76E-06,0.154596193,6.789009364,1,0,0,0.375
Train,2,0,1,0.1851,419.70071,1283.167347,0.03426201,0.41970071,12.83167347,1,0,0,0.15
Train,1,0,1,0.0616,164.6323396,524.9052904,0.00379456,0.16463234,5.249052904,1,0,0,0.025
Train,2,0,1,-0.092,389.3958518,181.9327274,0.008464,0.389395852,1.819327274,1,0,0,0.15
Train,2,0,1,0.0558,43.45666415,645.0183028,0.00311364,0.043456664,6.450183028,1,0,0,0.15
Train,4,0,1,0.2714,533.821158,724.1051915,0.07365796,0.533821158,7.241051915,1,0,0,0.625
Train,5,0,1,0.0135,408.5747887,34.91154322,0.00018225,0.408574789,0.349115432,1,0,0,0.85
Train,4,0,1,-0.0085,272.9457929,417.1855352,7.23E-05,0.272945793,4.171855352,1,0,0,0.625
Train,3,0,1,0.21,435.3276989,1207.461687,0.0441,0.435327699,12.07461687,1,0,0,0.375
Train,5,0,1,-0.0217,64.65331631,39.92316522,0.00047089,0.064653316,0.399231652,1,0,0,0.85
Train,3,0,1,0.0073,512.5875644,147.8940501,5.33E-05,0.512587564,1.478940501,1,0,0,0.375
Train,3,0,1,0.208,131.6497297,981.6664371,0.043264,0.13164973,9.816664371,1,0,0,0.375
Train,3,0,1,-0.0818,471.6533494,992.606555,0.00669124,0.471653349,9.92606555,1,0,0,0.375
